name,age,gender,attendance_rate,assignments_completed,midterm_score,final_exam_score,dropout
Thomas Parks,24,Male,0.7293523245035637,18,93,89,0
Mark Davis,22,Female,0.8074526384075738,18,74,90,0
Daniel Rivera,19,Female,0.5668731351150182,2,90,52,0
Rita Graves,21,Male,0.6620832226791897,9,76,44,1
Kaitlin Perez,22,Male,0.8550440261798656,10,70,45,1
Michael Valencia,23,Female,0.6292122402517717,4,44,59,0
Alexandra Davis,20,Male,0.7458908941723409,17,80,100,1
Donna Brown,21,Male,0.7697101319513573,17,65,80,0
Hannah Chavez,22,Male,0.628500421977066,4,46,45,1
Ronald Chang,21,Female,0.8089291644708956,15,71,96,1
Pedro Thomas,23,Male,0.535467289481586,1,87,58,1
Matthew Thompson,19,Female,0.578331745860903,17,48,65,1
Brian Smith,19,Female,0.7912402802547164,8,58,53,1
Daniel Jordan,19,Male,0.7544230207383252,6,95,86,1
Raymond Alvarez,18,Female,0.6095169369283711,2,65,42,1
Danielle Oconnell,19,Female,0.983791480429999,4,94,41,0
Alicia Armstrong,18,Female,0.6542204578742625,8,46,82,0
Charles Romero,19,Female,0.9560842052226117,9,53,92,1
Tonya Singh,24,Female,0.6768903223734176,3,44,67,0
Suzanne Miller,25,Female,0.9246910005381531,18,48,61,1
Daniel Hahn,25,Female,0.8032828133788636,2,84,89,1
Nicholas Hart,20,Male,0.5010575590407302,10,99,100,1
Alyssa Rodriguez,22,Male,0.8507021672631434,14,51,55,0
Beth Singleton,24,Male,0.8297650858932912,4,94,56,1
Kenneth Long,25,Female,0.7602055447139784,10,99,70,0
Aaron White,22,Female,0.6219870373721834,9,83,100,1
Richard Anthony,23,Male,0.9434786532425816,19,95,42,1
John Mata,19,Female,0.5029298475844797,7,80,72,1
Michael Williams,18,Female,0.8670719162132706,18,97,80,0
Joseph Lopez,23,Male,0.5272994358501892,5,45,88,0
Kelly Wade,25,Female,0.6794898935980337,20,78,84,1
Jessica Soto,23,Female,0.7279660718752404,20,42,99,0
Thomas Richardson,20,Male,0.7377546704833087,14,62,84,0
John Price,24,Female,0.5968583494684057,19,45,85,0
Aaron Ross,24,Female,0.7057785042569151,18,66,59,0
Emily Taylor,23,Male,0.7501431170285376,10,85,78,1
Heidi Richardson,23,Female,0.785893429037942,17,95,50,1
Mrs. Allison Little,19,Male,0.8360783728333011,9,94,53,0
Andrea Kennedy,22,Female,0.7854782686316901,11,47,88,1
Crystal Long,19,Female,0.5585378145537816,6,74,100,1
Anthony Porter,24,Female,0.5296583447903689,16,80,60,0
Shelby Harris,22,Female,0.557099855903628,7,98,94,1
Amber Tyler,25,Female,0.768583103110005,0,86,56,0
Juan Hunter,24,Male,0.6918359116477538,4,69,92,1
Jamie Ross,19,Male,0.7423473509498348,2,50,55,0
Darlene Anderson,19,Female,0.9502826258455768,13,57,87,1
Melissa Turner,23,Female,0.9577550059862043,12,69,40,0
Erin Johnson,20,Female,0.7905950097744123,0,86,45,0
Dr. William Tate,23,Female,0.7335561232540593,14,62,59,1
Anthony Cook,25,Female,0.9105763449316786,12,71,92,1
Brandon Walters,24,Female,0.6022113224095796,1,44,54,0
Robert Wilson,25,Male,0.5022131476506773,3,96,89,0
Andrew Allen,19,Male,0.5528737605812264,13,57,76,0
Cathy Hampton MD,23,Male,0.9719628712578234,5,41,57,0
Brandon Wallace,23,Female,0.8224922597491924,11,90,100,0
Lisa Banks,23,Female,0.8228811458087597,3,52,67,0
Rebecca Pearson MD,21,Female,0.6589168474138358,20,75,50,1
Keith Haynes,19,Female,0.794058707978993,1,63,84,1
Mary Kline,18,Male,0.6429955457369212,20,81,62,0
Zachary Williams,18,Male,0.9006890148669229,16,81,94,1
Brittany Patton,20,Male,0.6315205167189535,3,64,76,0
Kevin Reynolds,21,Female,0.9266571187744538,19,42,61,1
Paul Noble,18,Female,0.6968396910884228,16,65,94,0
Elizabeth Johnson,23,Male,0.9821186706672442,19,54,53,0
Lisa Campbell,25,Male,0.8506564162589539,15,67,96,0
James Lee,18,Female,0.6653240362806128,19,44,50,0
Jeffery Lawrence,20,Male,0.6876793189301331,16,72,52,0
Timothy Moyer,25,Female,0.556962792886444,16,99,86,1
Angela Rowe,25,Female,0.6988169721780193,12,92,46,1
Megan Atkinson,19,Male,0.9007743754597686,20,96,91,0
Jennifer Wilson,21,Female,0.8128527393718136,5,59,89,0
Joshua Ingram,19,Male,0.6911525364588451,5,72,87,0
Kristina Brewer,19,Female,0.8681211085701763,14,73,74,0
David Hill,20,Female,0.7760334864382376,20,40,88,1
Douglas Adams,25,Female,0.5798578374805964,9,45,42,0
Brooke Bautista,19,Female,0.5577015543815551,15,60,41,1
Briana Obrien,24,Female,0.8521025389375596,17,49,81,1
Austin Fitzgerald,20,Male,0.9717147244397651,1,44,85,0
Austin Mclaughlin,24,Female,0.8656179049775738,5,55,52,0
Michael Jackson,21,Male,0.8753588936079479,20,62,75,0
Sheila Dunlap,25,Male,0.5008189067051361,12,65,58,1
Mark Vazquez,21,Female,0.5097381079614498,9,93,77,0
Scott Martin,20,Female,0.9779658886935045,15,85,86,1
Joseph Keith,24,Female,0.6485480086700194,10,71,90,1
Jody Welch,21,Female,0.7727534280223147,7,82,70,1
Cameron Blake,19,Male,0.5780274613111851,1,60,53,0
Scott Ferrell,19,Female,0.6523544543514608,14,81,90,0
Ryan Esparza,23,Female,0.8431410904233054,17,74,91,0
Christopher Thomas,23,Male,0.54421265454851,1,63,76,0
Eric Garcia,20,Male,0.8030745541338746,12,59,55,0
Emily Gillespie,18,Male,0.7321712270546161,16,69,91,1
Lindsay Howard,20,Female,0.8490690093574642,12,59,66,1
Timothy Adkins,25,Female,0.928443714899056,18,64,85,1
Jody Adams,22,Female,0.6390374518352955,20,72,81,0
Edward Conley,22,Female,0.9078609680664953,1,78,76,0
Wendy Dunn,24,Female,0.90088419351538,1,91,80,1
Tricia Chavez,19,Male,0.6813127412020907,3,80,59,0
Lorraine Johnson,23,Male,0.7235642056317323,2,83,59,1
Laura Long,18,Male,0.8135473694988531,0,85,73,1
Sarah Sandoval,24,Female,0.9373271509593681,6,55,55,1
Kevin Price,23,Male,0.6400940762270151,18,62,92,0
Amanda Irwin,20,Female,0.6366775107416478,1,81,81,1
Alicia Gonzalez,19,Male,0.8704788831010479,14,93,60,1
Stephen Barker,21,Male,0.9108792876800155,19,61,52,1
Alyssa Johnson,22,Male,0.9505986990072857,14,100,73,0
Haley Rivera,20,Male,0.6853168563083862,9,85,61,0
Richard Graham,18,Male,0.655674582788366,6,47,67,0
Tammy Stafford,18,Male,0.668784734046298,7,60,98,0
John Cervantes,20,Male,0.632409460813491,10,47,69,0
Steven Johnson,23,Male,0.6572011938425264,14,100,45,1
Ronald Morrow,25,Female,0.5400498330395721,12,86,91,1
Jordan Johnson DVM,25,Male,0.9648413391502456,2,47,58,1
Michael Campbell,19,Female,0.6425883997280456,6,47,59,1
Paul Roberts,23,Female,0.5108735359841474,19,94,82,1
Julie Johnson,25,Male,0.9945926548632318,11,61,58,1
Donna Long,22,Male,0.5766217313155835,11,77,81,0
Robert Hopkins,18,Female,0.8743287946587819,11,91,52,1
David Smith,22,Female,0.6511578102534564,8,61,78,0
Steven Bradley,25,Female,0.8410483392631751,0,66,82,1
Jason Williams,22,Male,0.5475403512503836,5,86,49,1
Tamara Campbell,21,Male,0.7739311283953003,19,96,68,0
Amber George,21,Female,0.5763175681535864,8,66,58,1
Eric Edwards,19,Female,0.7834621196613527,7,97,51,0
Corey Bright,24,Male,0.6634430998199379,5,96,59,0
Katie Miller,18,Male,0.9567722085570367,7,43,78,0
Brittany Dominguez,25,Male,0.5423945178194642,13,68,78,0
Laura Andrews,18,Male,0.7298509918081064,6,100,98,0
Tonya Thompson,25,Female,0.5370456561642016,13,90,97,1
Jesus Irwin,24,Male,0.7612731197444547,11,97,41,1
Steven Smith,19,Female,0.5557844056476899,19,49,74,1
Heather Jacobson,24,Male,0.5010159631901295,16,53,86,1
Diane Flynn,23,Female,0.6492322052960581,18,81,46,1
Debbie Espinoza,24,Male,0.540558947025081,5,74,41,1
Kimberly Maldonado,22,Male,0.9631361832889687,4,59,55,1
Melissa Braun,25,Female,0.5952219400424827,7,94,81,1
Adam Williams,21,Female,0.9029247034612421,3,82,72,0
Stacy Brown,23,Male,0.5263540661651551,13,42,52,1
Jordan Erickson,19,Female,0.6545639151278375,16,88,40,1
Benjamin Olson Jr.,19,Male,0.8241926818484406,19,93,67,0
Jamie Dawson,19,Female,0.6886008434533863,1,96,98,0
Patricia Brown,22,Female,0.7683693427206387,9,61,88,1
Frances Diaz,25,Male,0.7985132259941412,11,80,100,1
Mark Peters,18,Female,0.5771993056771951,13,74,48,0
Martin Collins,23,Female,0.8737664548407336,10,88,49,0
Kimberly Stevens DVM,20,Female,0.9887781164771066,5,55,85,0
Julie Jones,19,Male,0.8034892449525645,20,72,47,0
Patrick Morris,21,Female,0.5032734468913673,14,45,51,0
Andrea Thompson,25,Male,0.8542749510658453,9,71,82,0
Jessica Smith,18,Female,0.5473405351643947,5,87,83,1
Lori Wright,20,Male,0.7969646366736746,10,72,74,0
Charles Tucker,22,Female,0.5953368196882447,18,48,66,0
Ashley Barnes,23,Male,0.6321175884573293,12,79,58,0
Christine Price,24,Female,0.5385917112363667,13,90,69,1
Hannah Wilson,20,Male,0.5754579847458661,10,80,78,0
Diane Thompson,21,Male,0.6617145075432396,16,90,81,0
Lauren Jones,23,Female,0.5211092982896786,4,41,49,1
Tyler Smith,19,Male,0.5253821308246563,3,92,55,1
Mr. Thomas Castillo DDS,20,Male,0.6493360384771704,7,80,96,0
Stacy Alexander DDS,20,Male,0.6143535769973116,0,63,100,1
Adam Gibbs MD,21,Male,0.5889679141602622,11,93,73,1
Troy Wise,23,Male,0.8513664481221943,12,95,100,0
Pamela Sherman,21,Female,0.9784636889493772,10,62,46,0
Danny Bates,25,Female,0.5892123047155162,1,81,94,1
Ryan Martin,21,Male,0.8964218385246001,4,51,81,0
Michael Gibson,20,Male,0.7259665092788079,2,96,99,1
Amy Dyer,25,Female,0.9619389347350068,12,82,70,1
Matthew Stephens,24,Female,0.8557317379682925,16,42,66,0
Emily Miller,19,Male,0.9326149595109255,10,86,74,1
Timothy Gutierrez,22,Male,0.7124933201518887,1,84,79,1
Patricia Schaefer,21,Female,0.9846049032415287,5,61,95,1
Sarah Mahoney,21,Male,0.6769566654412326,16,62,69,1
Amber Evans,20,Male,0.5211216852834258,8,40,75,0
Michelle Landry,19,Male,0.9535407474971924,16,76,66,0
Heather Klein,24,Female,0.9985569367718314,1,97,57,1
Melinda Cruz,18,Male,0.7039613540910599,14,82,63,0
Kaitlyn Daniels,20,Female,0.5549417513269173,16,49,62,0
Jennifer Bell,24,Female,0.8392413658855267,1,67,69,1
Kathleen Odonnell,23,Female,0.55520033906837,15,49,87,1
Charles Stewart,20,Male,0.9801034943269612,3,49,86,1
Lynn Bryant,24,Female,0.7744510275456964,0,61,52,1
Angela Church MD,22,Male,0.8155347863670245,12,100,79,1
Anna Hart,23,Female,0.5453604628793219,15,95,43,1
Travis Elliott,24,Female,0.773271688736344,3,59,80,1
Paul Anderson,20,Female,0.6861367144628621,10,80,70,0
Kristina Mckenzie,19,Male,0.9559271248713486,3,82,71,1
Ronald Henderson,18,Male,0.5201858238728614,2,65,85,0
Ashley Collins,25,Male,0.509445802375581,19,40,69,0
Allison Brown,23,Female,0.5338805340517758,18,74,87,1
Amanda Jackson,21,Male,0.5919525756283692,18,74,75,1
Rita Ball,22,Female,0.9778700583340356,11,59,83,0
Matthew Cox,22,Male,0.5465005614551779,16,52,84,1
Maria Young,18,Male,0.7548132858870003,19,51,69,1
Dennis Preston,20,Male,0.5686131742459966,16,65,91,1
Valerie Duke,25,Male,0.6854575194793874,20,68,89,0
Jeffery Cooper,19,Male,0.7168752057943,15,82,69,0
Kristen Pitts,25,Male,0.6035717851568102,18,43,86,0
Adam Mosley,19,Female,0.5370516144771873,11,40,41,0
Wesley Wilson,21,Female,0.9492247696233655,3,58,84,1
Joshua Yates,25,Male,0.5990369947414109,4,48,92,0
Sherry Dougherty,23,Male,0.6452279363773424,12,63,57,0
Craig Campos,25,Female,0.7478203911408225,13,58,49,0
Marie Mcgee,21,Female,0.7140102110581973,4,43,81,1
Jordan Rose,23,Female,0.9338302812555348,17,69,79,1
Randall Alexander,21,Male,0.5215810468176657,0,79,62,1
Brian Hunt,25,Female,0.8377048117930723,2,59,78,1
Dana Sanchez,24,Female,0.6422102139979847,7,98,94,1
Pamela Jackson,25,Female,0.7708398094448752,10,56,49,1
Hannah Smith,18,Male,0.7081740802346714,5,75,45,0
Casey Smith,23,Female,0.8863882582377426,14,41,54,1
Jody Sanchez,23,Female,0.8152966900938937,4,54,86,0
Julie Collier,18,Male,0.591906088545574,3,68,64,0
Randy Shields,21,Male,0.5022043599571966,11,40,68,0
Charles Morgan,25,Female,0.7816553179464631,15,96,87,0
Jeremy Rice,22,Female,0.5684006789708221,20,98,76,1
Patricia Collins,18,Female,0.9185345879066134,19,47,86,0
James Gonzalez,18,Male,0.8865694557668853,14,88,90,1
Anna Gutierrez,25,Female,0.9136580074038296,9,57,51,0
Michael Schultz,20,Male,0.5308576680205834,5,95,69,0
Max Boyd,20,Female,0.8907338918514787,20,90,55,0
Morgan Mccarthy,25,Female,0.881213553990027,13,74,64,1
Jon Lowe,21,Male,0.586775250181262,0,95,56,0
Timothy Thomas,25,Female,0.9788875844612898,2,73,45,1
Austin Perry,24,Male,0.937400448723132,3,83,53,0
Stephanie Moran,19,Male,0.5538659375425403,0,63,48,0
Christopher Allen,21,Male,0.8963262610711145,2,76,70,0
Tammy Johnson,23,Female,0.8235159400437713,17,76,77,0
Dennis Cooley,23,Female,0.7365386930040908,20,94,76,0
Dr. Sarah Santiago,20,Male,0.6172807703797516,8,98,50,0
Meghan Watts,23,Female,0.78708955169084,3,58,47,0
Steven Lane,22,Male,0.7108864066419179,13,72,100,0
Michele Brown,22,Male,0.5548554420120413,11,63,73,0
Natalie Gonzalez,18,Male,0.9573668258500918,7,44,58,0
Eric Hartman,20,Male,0.5196976331951038,2,50,92,1
James Marshall,21,Female,0.7943515428124478,0,93,61,0
Crystal Figueroa,24,Male,0.7176928543532828,6,55,72,1
William Duncan,23,Female,0.7112095943224024,10,55,63,0
Nicholas Allison MD,19,Male,0.8061639219627716,17,90,74,1
Joel Zavala,19,Female,0.9053697342823828,20,65,85,1
Kevin Torres,20,Male,0.7665831624544837,17,58,94,0
Joshua Barrera,23,Female,0.5848435149164191,16,93,98,1
Matthew Dawson,24,Male,0.6206141021592366,1,98,93,0
Johnny Richard,19,Female,0.6574212395099872,10,51,50,1
Nicholas Garcia,18,Female,0.7448284935740797,10,63,54,1
Victoria Sanchez,21,Female,0.6675646988555298,8,69,79,1
Elizabeth Marshall,18,Female,0.8150347452817115,14,44,70,1
Sally Powell,22,Male,0.7149814815265279,4,86,85,0
James Bell,25,Female,0.7517167848255848,18,92,50,1
Andrew Cunningham,21,Male,0.8384794683514515,9,58,77,1
Miranda Smith,23,Female,0.874103512473361,3,98,51,1
Nancy Myers,20,Female,0.9462731973233096,17,52,82,0
Patty Singh,23,Male,0.6574893455872841,10,80,68,0
Michael Brewer,21,Female,0.8670080704458804,19,46,83,1
William Berry,18,Female,0.5814769608324499,4,52,74,1
Jennifer Jones,24,Female,0.9057419330173799,15,87,70,1
David Smith,23,Male,0.5769966976587187,11,73,42,0
Christopher Peterson,23,Female,0.8381570332650956,7,55,97,1
Melissa Gardner,21,Female,0.5461936973501642,7,59,47,0
Sarah Hernandez,21,Male,0.9869497150381785,1,89,46,1
Jacob Hill,22,Female,0.7274046989052374,13,91,61,0
Tommy Bass,19,Male,0.9075900293814441,13,52,48,1
Sherry Raymond,24,Female,0.7501968001284869,7,50,91,1
Sandra Hall,20,Male,0.6635532600001168,14,53,54,0
Bryan Williams,25,Male,0.6319250899889204,8,54,68,1
Alexandria Herring,23,Male,0.6872615685523282,10,98,60,1
Natalie Reynolds,23,Male,0.7520143948735499,19,95,51,1
Catherine Alexander MD,23,Male,0.7525956432337214,19,96,61,1
Terry Luna,24,Female,0.913318334275071,19,43,46,0
Carlos Moreno,24,Male,0.7753019636746361,15,67,76,1
Rhonda Lee,18,Male,0.6056680689829221,5,99,79,1
Victor Lopez,25,Male,0.791656268454765,12,58,41,0
Samantha Conway,25,Female,0.6100793891760524,6,51,84,0
Dan Griffin,18,Female,0.5364051911151324,20,62,61,1
Matthew Knapp,24,Male,0.5175093166491915,7,59,97,0
Shelia Thomas,23,Female,0.960289780668329,18,79,97,0
Matthew Waters,24,Female,0.8205506116328704,0,51,57,1
Angela Hayes,20,Male,0.9369564154401142,8,77,79,0
Maria Gonzalez,21,Female,0.7293769154622899,11,65,93,0
Jeremy Evans,23,Male,0.8929160013162091,17,88,92,1
Charles Perez,18,Female,0.56104978044645,7,51,54,1
Rose Aguilar,25,Female,0.9741060330896254,17,48,58,1
David Gardner,21,Female,0.9833964616057855,5,75,88,0
Nicholas Lopez,25,Male,0.8708859432705842,1,64,96,0
Kimberly Edwards,20,Male,0.9461171891234547,8,45,90,0
Travis Hopkins,18,Male,0.5069196336215647,12,51,89,0
Laurie Johnson,19,Female,0.7091493411300909,1,52,73,1
James Smith,20,Female,0.9459544420271278,19,46,68,1
Ms. Belinda Walton,19,Male,0.6104704084807187,8,52,70,0
Courtney Patrick,22,Female,0.8628297091149189,11,82,70,1
Matthew Ramos,22,Male,0.6704106805006744,18,87,97,1
Deanna Black,22,Female,0.9224171134828972,12,78,87,0
Matthew Martinez,19,Female,0.8445831690340456,15,71,81,0
Dana Blake,23,Male,0.901515237245579,12,92,60,0
Ryan Boone,25,Female,0.8358829044022322,10,96,51,1
Jenny Lee,25,Female,0.5544715471077869,2,78,50,1
Clifford Wheeler,21,Female,0.8522422110495876,20,40,67,1
Anthony Williams,22,Male,0.9524981486534323,14,74,83,0
Tiffany Parker,25,Female,0.6562968161791864,5,49,53,0
Rhonda Jones,19,Male,0.5858177512057972,10,81,43,0
Stephen Potter,25,Female,0.8148174361431003,0,93,95,0
Julie Carpenter,18,Male,0.6980171051460842,0,74,99,1
Shelley Brown,22,Female,0.9556961946599658,17,55,84,0
Ruben Riley,23,Female,0.6597828554811843,6,42,70,0
Victoria Lewis,22,Male,0.959417597186047,10,67,44,1
Jennifer Griffin,22,Female,0.7491452992784147,5,62,67,0
Carla Poole,25,Male,0.8911336917279113,14,97,99,0
Edward Cunningham,21,Female,0.7940302242735384,0,47,65,0
William Mcfarland,20,Male,0.5199500799151001,2,96,65,1
Kevin Jones,19,Female,0.8338260934005877,2,51,51,0
Kathy Reyes,24,Female,0.841405418372664,12,68,95,0
Renee Medina,25,Female,0.9764987815824611,7,68,88,1
Matthew Patterson,18,Female,0.5176713867832845,9,59,86,1
Patrick Dixon,25,Male,0.7317138963349561,17,95,51,1
Lisa Ferrell,24,Male,0.7369085505879862,17,40,54,1
Andrew Ramirez,23,Female,0.668178580250772,8,71,55,1
Mrs. Anne Alexander,23,Male,0.5788622822147098,17,95,99,0
Michael Garcia,19,Female,0.5598259123767493,10,64,62,1
Elizabeth Thompson,25,Male,0.9627141641880523,10,85,72,0
Joseph Hall,18,Male,0.9464067271802574,14,75,73,0
Angela Schmidt,25,Female,0.6400405887282148,12,90,75,1
Dominic Arnold,22,Male,0.634211957380826,14,40,62,1
Jodi Young MD,22,Female,0.702761869414809,9,57,89,1
Michael Perez Jr.,23,Male,0.640627165780358,8,40,95,0
Charles Leonard,22,Male,0.7970773128913263,16,54,89,1
Andrew George,20,Female,0.8449151948565244,13,92,53,0
Amber Thompson,23,Female,0.7887931707069393,18,50,41,1
Ashley Burton,22,Male,0.8132895224192493,3,78,73,0
Hannah Becker,24,Male,0.721396192387493,7,65,69,0
Raymond Chen,24,Female,0.930307648956709,14,56,79,0
Stacey Cherry,24,Female,0.7209835908530293,20,72,42,1
Marvin Hill,18,Female,0.7911621349978314,11,65,59,0
Victoria Sheppard,20,Male,0.6749555289517424,1,100,87,1
Sarah Daniels,19,Female,0.8593832940918096,9,55,72,0
Holly Gregory,22,Female,0.5437744883444655,1,74,89,0
Nicholas Lee,18,Male,0.7193808476196857,17,84,47,0
Jeremy Bell,23,Female,0.5549560187652768,19,95,55,1
Helen Ramirez,19,Female,0.939106150982528,17,77,78,1
Jessica Oliver,24,Female,0.589469263850819,7,52,62,1
Jennifer Bell,24,Male,0.6591141880373846,16,72,69,1
Richard Campbell,24,Male,0.5337352333259135,12,92,95,1
Natalie Mann,24,Male,0.567094033985335,15,61,62,1
Angela Knapp,20,Male,0.7469872899413601,3,69,53,1
Maria Peters,23,Female,0.8504281402144356,17,80,74,1
Cynthia Rogers,18,Female,0.6410902278808618,10,100,40,1
Michael Moore,22,Female,0.642795624688889,3,52,52,1
Larry Juarez,22,Male,0.6624285113132262,5,58,77,1
Melissa Townsend,22,Female,0.828772751257558,7,74,44,1
John Juarez,20,Female,0.8821878042903011,16,48,49,1
Ronald Lloyd,22,Female,0.5823546466506568,0,87,77,0
Lisa Page,19,Female,0.9876415169324553,19,99,74,1
Kimberly Burke,19,Female,0.9243635164219822,19,93,49,1
Victor Watson,25,Male,0.5190964231036543,1,56,93,0
Mary Martinez,18,Female,0.8936661434154154,3,87,83,0
Amanda Vega,24,Male,0.6121335381386017,12,55,69,1
Michele Myers,25,Female,0.5925645390445066,10,85,67,1
Brian Meza,20,Male,0.5268399270852588,14,79,88,0
Brian Myers,24,Male,0.7717745548561026,18,81,92,0
David Middleton,20,Male,0.5539037786442311,3,52,71,1
Steven Allison,19,Female,0.6407072661048949,5,87,86,1
James Dickerson,20,Male,0.9561942326724944,4,64,40,1
David Anderson,21,Female,0.5409505852798413,4,83,41,0
Connie Boyd,22,Male,0.8579374174001864,13,72,48,0
Erica Willis DDS,25,Female,0.799746382946179,6,71,57,1
William Johnson,18,Female,0.9451728945890898,6,68,89,1
Jamie Hernandez,22,Male,0.9657700622554477,5,85,72,1
Ruth Avery,21,Male,0.6397037589937261,13,60,95,1
Kristen Gomez,18,Male,0.606906668327736,16,100,70,0
Laura Jimenez,24,Female,0.616840096345487,12,67,69,0
Kelly Fischer,20,Male,0.5080306970698885,8,66,48,1
Melissa Mayo,21,Female,0.6847502343065873,5,52,94,1
Kaitlyn Huber,24,Male,0.7435077468629183,4,66,97,1
Aaron Valencia,22,Female,0.5715279289373513,1,55,60,1
William Jennings,24,Female,0.589350128334525,12,53,100,1
David Ryan,20,Male,0.7304086200735578,9,49,40,1
Ashley Mccann,18,Female,0.5331522313237524,12,96,79,0
Gwendolyn Gonzalez,18,Male,0.9185970513242308,7,74,52,0
Todd Moore,19,Female,0.7072744383174947,7,70,79,0
Eric Holmes,24,Female,0.5418023792990116,16,76,48,0
Caleb Hall,18,Male,0.5110284479002578,0,82,84,1
Nicole Randall,22,Male,0.6965624040194354,5,69,72,0
Ryan Moore,25,Male,0.719999905389654,3,84,50,1
Kimberly Lyons,19,Male,0.7998543858507281,12,97,57,0
Timothy Brown,21,Male,0.5976713395910203,4,92,71,0
Jenna White,23,Female,0.7103051762951036,15,97,69,0
Elizabeth Turner,24,Female,0.7362912430919724,5,41,44,1
Michelle Sanchez,21,Female,0.6978348986236225,16,82,47,1
Paul Kim,24,Female,0.9097456233231574,20,72,68,1
Carmen Price,24,Male,0.6823302125211869,13,64,45,1
Jessica Hill,25,Female,0.5430667496253392,18,85,74,0
Jane Hardy,20,Male,0.5174714805386063,11,40,53,0
Joshua Rasmussen,18,Male,0.6076907064777057,18,80,55,1
John Ramirez,24,Male,0.5250175107787223,11,56,66,1
Marc Kirk,24,Male,0.5718229744945252,12,61,68,1
James Williams,18,Female,0.5095610110201136,2,62,80,0
Kimberly Booker,23,Female,0.6866336050427525,19,100,72,1
Monica Poole,25,Male,0.5218270740626767,12,59,64,1
Julie Smith,23,Male,0.9776792746780132,12,77,97,0
Stephanie Carter,23,Male,0.7260071261437591,6,42,60,0
Michael Owen,19,Male,0.6640487198314755,13,54,51,0
Megan Lowe,18,Female,0.5930227231140747,1,63,50,0
Alexandra Mayo,25,Female,0.913363301234345,2,69,50,0
Tina Calderon,19,Male,0.9513556335460166,0,79,74,1
Lawrence Bernard,24,Male,0.9535698245016795,16,75,95,1
Colleen Harrell,19,Male,0.5645629219591843,3,90,48,0
Erica Carlson,18,Female,0.9386798863824766,5,50,49,0
Janice Melendez,21,Male,0.6894266700499142,19,75,52,1
Nicole Richards,22,Female,0.5378058587415057,10,88,57,0
Amy Reed,24,Male,0.8013752715096849,18,86,97,1
Heidi Clark,21,Male,0.866124036635388,11,59,75,1
Michael Hahn,22,Male,0.7559138812156334,15,68,80,0
Daniel Villanueva,25,Female,0.6633076752385614,1,55,52,0
Christopher Johnson,20,Female,0.8645970970883838,9,90,98,1
Susan Johnson,20,Male,0.6205846438342659,8,85,54,0
Katie Hays,19,Male,0.7563868502545708,7,92,71,0
Michael Hill,19,Male,0.9201598564883465,5,99,88,0
Anthony Miller,22,Male,0.9452079480291471,10,58,75,1
Kimberly Wiggins,21,Male,0.9372098805200818,15,79,78,1
Adam Taylor,18,Female,0.9971035033530953,10,82,81,0
George Fuller,24,Male,0.6954363390389471,10,88,88,0
Olivia Whitney,21,Male,0.6539749602681039,0,95,80,1
Jennifer Carr,22,Female,0.7148800101371597,11,91,51,0
Jennifer Smith,25,Male,0.6179347277820242,8,91,69,0
Anthony Tanner,25,Male,0.8412868596426532,9,40,71,1
Joan Gill,21,Male,0.7091074584901751,9,55,43,1
Kimberly Adkins,19,Male,0.6409302535101096,6,72,66,0
Beth Fowler,25,Female,0.9519449292846669,0,73,100,1
Matthew Walters,23,Male,0.6556640526214943,14,98,63,1
Jennifer Hall,23,Female,0.8586727646665073,18,93,71,0
Sandra Allen,18,Female,0.65873349814325,19,64,67,0
Samantha Edwards,19,Male,0.6869390933323565,0,81,63,1
Ryan Jackson Jr.,25,Male,0.7759925431885069,5,99,88,1
Michael Ortiz,19,Female,0.9417423588892344,8,64,48,0
Greg Brown,18,Male,0.9328000264774846,20,45,69,0
Dr. Tyler Lewis,19,Female,0.5290901942396007,8,68,88,0
Rachel Kerr,23,Female,0.8866212504472999,6,49,70,0
Angela Johnston,20,Male,0.7978712316913057,8,75,57,0
Diana Forbes,25,Female,0.746258134976119,6,67,68,1
Sandra Stone,24,Male,0.79158175768669,3,62,58,1
Heather Baker,23,Male,0.6119440191584502,15,41,86,0
Tyrone Morgan,24,Female,0.8379416125483439,9,46,60,1
Thomas Taylor,20,Female,0.8404245176240198,1,68,60,0
Morgan Avila,22,Male,0.5691212988228018,4,58,58,0
Michael Rogers,19,Male,0.983944993908236,8,66,48,1
Victoria Williams,19,Male,0.8950054726315626,19,67,43,0
Terri Murphy,25,Male,0.9410910875668176,17,94,48,0
Holly Bailey,19,Female,0.5619743606188654,19,93,66,0
Valerie Parker,25,Male,0.8628435497285958,1,80,91,1
David Phillips,23,Male,0.5259358417748854,4,49,66,0
Suzanne Parker,25,Male,0.8604354381742876,1,89,91,0
Mary Collins,22,Female,0.8821659447770863,16,67,76,1
Tracy Gordon,18,Female,0.7266379245651164,3,93,81,1
Leslie White,18,Male,0.9083014927344033,2,90,91,1
Laura Davenport,23,Female,0.5156296032742186,0,63,84,1
Kimberly Morales,23,Male,0.8773857044119455,12,77,67,1
Patty Lewis,19,Female,0.6491083670313817,11,98,65,0
Jonathan Smith,19,Male,0.7983673933155234,7,86,62,1
Scott Thomas,21,Female,0.5993345210074779,0,67,77,1
Alicia Clarke PhD,25,Male,0.7946317356505119,15,76,60,1
Julia Stewart,20,Male,0.7271874599112869,6,48,93,0
Chad Morris,20,Female,0.7059791401591976,0,52,42,1
Stacey Norman,25,Male,0.5206464548282808,12,48,80,0
